"pTemperature,d18O"
"8.80,0.22"
"8.32,0.30"
"7.91,0.33"
"8.36,0.27"
"6.26,0.16"
"7.79,0.18"
"3.85,0.21"
"3.77,0.02"
"3.70,0.00"
"3.49,0.08"
"2.84,0.40"
"8.65,0.23"
"6.56,0.00"
"5.79,0.06"
"6.39,0.25"
"6.30,0.14"
"7.73,0.25"
"7.69,0.11"
"6.85,0.04"
"6.46,0.00"
"6.99,0.41"
"7.84,0.39"
"6.52,0.28"
"6.04,0.09"
"4.89,0.00"
"5.36,1.03"
"7.87,0.39"
"8.84,0.42"
"8.28,0.55"
"8.72,0.25"
"8.65,0.18"
"7.95,0.38"
"9.50,0.30"
"10.17,0.36"
"7.53,0.46"
"10.44,0.46"
"8.77,0.32"
"10.67,0.27"
"10.07,0.29"
"10.95,0.17"
"0.80,0.22"
"1.50,0.20"
"1.86,0.17"
"1.96,0.15"
"2.23,0.12"
"0.76,0.30"
"0.88,0.30"
"1.51,0.24"
"2.27,0.21"
"2.24,0.18"
"3.50,0.14"
"0.66,0.35"
"0.81,0.32"
"0.93,0.32"
"1.46,0.29"
"1.68,0.26"
"1.82,0.16"
"2.56,0.10"
"3.11,0.04"
"0.58,0.35"
"0.59,0.35"
"0.90,0.32"
"1.29,0.32"
"1.98,0.27"
"2.88,0.26"
"2.95,0.19"
"4.77,0.19"
"7.18,0.39"
"7.77,0.33"
"0.62,0.35"
"0.77,0.36"
"1.11,0.36"
"1.50,0.31"
"3.20,0.29"
"2.88,0.22"
"4.07,0.20"
"5.34,0.25"
"0.62,0.36"
"0.64,0.36"
"1.19,0.32"
"1.73,0.28"
"2.80,0.27"
"3.69,0.24"
"4.77,0.24"
"4.79,0.21"
"0.62,0.35"
"1.03,0.26"
"2.45,0.28"
"2.32,0.23"
"2.41,0.17"
"3.99,0.15"
"4.67,0.15"
"0.61,0.37"
"0.59,0.36"
"1.25,0.30"
"1.94,0.27"
"2.54,0.28"
"3.08,0.22"
"3.46,0.19"
"4.13,0.17"
"3.38,0.03"
"1.87,0.35"
"4.26,0.36"
"5.30,0.39"
"5.84,0.36"
"5.44,0.24"
"5.78,0.18"
"5.75,0.01"
"7.46,0.16"
"8.94,0.19"
"8.94,0.20"
"8.92,0.13"
"8.90,0.15"
"8.88,0.14"
"1.37,0.28"
"1.64,0.29"
"2.93,0.31"
"3.90,0.31"
"5.83,0.34"
"6.08,0.36"
"6.54,0.37"
"6.95,0.38"
"7.19,0.39"
"7.45,0.42"
"7.61,0.42"
"7.92,0.43"
"7.97,0.43"
"8.51,0.43"
"10.49,0.37"
"10.53,0.35"
"10.57,0.36"
"10.57,0.39"
"10.58,0.39"
"1.47,0.37"
"2.98,0.24"
"4.02,0.35"
"4.07,0.35"
"4.19,0.33"
"4.65,0.33"
"5.29,0.34"
"5.51,0.38"
"5.88,0.36"
"6.47,0.41"
"6.83,0.41"
"7.38,0.43"
"7.48,0.45"
"7.77,0.46"
"7.91,0.46"
"8.25,0.47"
"8.50,0.44"
"10.62,0.40"
"10.88,0.41"
"10.88,0.37"
"10.88,0.40"
"10.88,0.38"
"10.88,0.38"
"1.03,0.33"
"1.14,0.32"
"1.57,0.31"
"1.98,0.29"
"2.33,0.33"
"2.63,0.32"
"2.88,0.32"
"2.97,0.30"
"3.09,0.27"
"3.28,0.27"
"3.41,0.26"
"3.61,0.23"
"3.85,0.32"
"4.44,0.33"
"4.81,0.35"
"5.06,0.33"
"8.28,0.27"
"8.30,0.26"
"8.31,0.22"
"8.31,0.25"
"1.13,0.37"
"1.33,0.38"
"1.78,0.29"
"2.44,0.35"
"2.89,0.37"
"3.00,0.36"
"3.11,0.33"
"3.27,0.32"
"3.43,0.36"
"3.40,0.34"
"3.48,0.35"
"3.77,0.36"
"4.17,0.38"
"4.38,0.38"
"4.66,0.34"
"4.89,0.33"
"5.46,0.30"
"8.51,0.26"
"8.51,0.30"
"8.52,0.32"
"1.17,0.37"
"1.35,0.33"
"1.85,0.32"
"2.33,0.36"
"2.73,0.37"
"2.93,0.37"
"3.18,0.33"
"3.35,0.34"
"3.54,0.34"
"4.10,0.27"
"4.41,0.35"
"5.46,0.31"
"5.89,0.33"
"3.06,0.33"
"4.89,0.30"
"8.78,0.25"
"1.17,0.38"
"1.60,0.30"
"1.60,0.29"
"1.93,0.31"
"2.28,0.14"
"2.64,0.17"
"2.94,0.21"
"3.14,0.18"
"3.40,0.22"
"3.54,0.21"
"3.49,0.27"
"3.67,0.24"
"4.19,0.26"
"4.64,0.27"
"5.03,0.28"
"5.19,0.28"
"5.73,0.29"
"7.87,0.22"
"8.78,0.22"
"8.81,0.24"
"8.80,0.23"
"2.35,0.29"
"2.50,0.29"
"2.85,0.28"
"3.19,0.29"
"3.31,0.28"
"3.50,0.35"
"3.59,0.31"
"3.77,0.37"
"3.79,0.33"
"3.92,0.27"
"4.40,0.30"
"5.17,0.28"
"5.89,0.39"
"6.18,0.33"
"6.56,0.36"
"6.92,0.29"
"7.62,0.18"
"8.30,0.17"
"8.82,0.16"
"8.85,0.19"
"2.39,0.32"
"2.48,0.29"
"2.81,0.35"
"2.96,0.34"
"3.14,0.23"
"3.55,0.29"
"3.69,0.26"
"3.84,0.31"
"4.48,0.34"
"4.95,0.32"
"5.13,0.25"
"5.35,0.24"
"6.05,0.26"
"6.36,0.33"
"6.41,0.33"
"7.25,0.32"
"8.37,0.31"
"8.77,0.25"
"8.79,0.28"
"8.79,0.28"
"2.85,0.28"
"3.13,0.30"
"3.48,0.29"
"3.63,0.27"
"3.77,0.27"
"4.52,0.24"
"5.26,0.32"
"5.92,0.35"
"6.40,0.32"
"6.40,0.35"
"5.48,0.29"
"5.25,0.20"
"5.25,0.19"
"6.27,0.26"
"7.18,0.30"
"7.59,0.30"
"8.31,0.32"
"8.55,0.28"
"8.55,0.27"
"3.93,0.29"
"4.11,0.28"
"4.38,0.28"
"4.52,0.29"
"4.68,0.27"
"4.74,0.28"
"4.80,0.14"
"4.92,0.19"
"4.94,0.22"
"4.78,0.17"
"5.05,0.20"
"5.18,0.20"
"5.49,0.24"
"5.85,0.24"
"4.16,0.02"
"4.23,0.02"
"7.70,0.22"
"8.01,0.26"
"8.01,0.25"
"7.99,0.26"
"5.00,0.28"
"5.04,0.27"
"5.12,0.28"
"5.29,0.26"
"4.83,0.20"
"4.59,0.16"
"4.29,0.08"
"4.08,0.02"
"5.56,0.05"
"7.91,0.25"
"7.94,0.18"
"7.95,0.14"
"7.95,0.15"
"7.95,0.17"
"4.21,0.10"
"4.21,0.12"
"4.20,0.11"
"4.25,0.12"
"4.25,0.12"
"4.79,0.15"
"6.06,0.15"
"5.90,0.09"
"5.33,0.01"
"5.31,0.01"
"6.00,0.03"
"4.09,0.07"
"5.23,0.24"
"5.22,0.24"
"5.24,0.20"
"5.73,0.17"
"6.22,0.17"
"5.74,0.07"
"4.66,0.10"
"4.69,0.15"
"6.18,0.17"
"6.46,0.20"
"5.87,0.03"
"6.20,0.12"
"1.14,0.27"
"1.45,0.30"
"2.02,0.28"
"2.33,0.29"
"2.68,0.28"
"2.85,0.26"
"2.97,0.26"
"3.11,0.30"
"3.24,0.28"
"3.41,0.28"
"3.49,0.25"
"3.54,0.25"
"3.58,0.24"
"3.72,0.24"
"4.06,0.26"
"4.29,0.28"
"4.19,0.26"
"4.29,0.24"
"4.64,0.26"
"5.16,0.26"
"7.38,0.27"
"10.24,0.25"
"10.26,0.22"
"1.27,0.29"
"1.69,0.24"
"2.08,0.27"
"2.39,0.29"
"2.57,0.27"
"2.69,0.29"
"2.75,0.26"
"2.86,0.28"
"2.93,0.29"
"2.99,0.27"
"3.06,0.26"
"3.14,0.25"
"3.27,0.23"
"3.49,0.25"
"3.60,0.22"
"3.54,0.23"
"3.67,0.19"
"3.91,0.26"
"4.02,0.22"
"4.26,0.23"
"4.68,0.21"
"5.73,0.21"
"9.53,0.21"
"9.54,0.20"
"0.91,0.29"
"1.31,0.30"
"1.62,0.32"
"2.19,0.30"
"2.44,0.30"
"2.59,0.32"
"2.70,0.28"
"2.79,0.28"
"2.98,0.30"
"3.10,0.29"
"3.24,0.28"
"3.44,0.27"
"3.56,0.26"
"3.61,0.25"
"3.99,0.28"
"4.19,0.26"
"4.96,0.28"
"5.22,0.27"
"5.70,0.27"
"10.07,0.25"
"10.14,0.25"
"1.22,0.32"
"1.28,0.31"
"1.74,0.28"
"2.00,0.28"
"2.21,0.29"
"2.36,0.28"
"2.46,0.31"
"2.60,0.29"
"2.69,0.32"
"2.74,0.28"
"2.90,0.29"
"3.06,0.30"
"3.21,0.28"
"3.38,0.28"
"3.56,0.23"
"3.88,0.25"
"4.46,0.28"
"5.33,0.33"
"5.88,0.35"
"6.57,0.32"
"7.37,0.32"
"10.42,0.26"
"1.29,0.29"
"1.28,0.31"
"1.49,0.30"
"1.96,0.30"
"3.57,0.28"
"3.60,0.26"
"3.65,0.28"
"3.88,0.24"
"4.64,0.30"
"5.52,0.34"
"6.88,0.33"
"2.22,0.31"
"2.73,0.29"
"2.80,0.29"
"2.92,0.29"
"3.04,0.29"
"3.17,0.28"
"3.31,0.30"
"3.48,0.32"
"3.59,0.29"
"4.14,0.29"
"4.59,0.31"
"5.23,0.31"
"5.55,0.34"
"6.14,0.35"
"7.10,0.36"
"7.36,0.36"
"8.06,0.36"
"9.54,0.30"
"9.82,0.33"
"9.82,0.30"
"2.20,0.30"
"2.20,0.30"
"2.67,0.30"
"3.00,0.29"
"3.15,0.29"
"3.31,0.30"
"3.46,0.29"
"3.59,0.28"
"3.70,0.26"
"3.79,0.28"
"3.91,0.28"
"4.47,0.29"
"4.89,0.29"
"5.23,0.32"
"5.81,0.32"
"6.55,0.39"
"7.01,0.36"
